Serious,Age,DebtRatio,MonthlyIncome,NumberOfLoans,NumberOfRealEstateLoans,NumberOfDependents
1,36,0.558320373,4500.0,9,3,0.0
1,73,274.0,5217.0,2,0,0.0
1,54,0.228402866,2372.0,2,0,0.0
1,38,0.153500141,3556.0,5,0,2.0
1,39,0.691279186,5010.0,14,2,2.0
1,47,1.104301274,5416.0,6,2,1.0
1,68,0.218071277,25000.0,27,3,0.0
1,36,0.558320373,4500.0,9,3,0.0
1,47,0.03975841,25000.0,11,1,3.0
1,63,0.285156885,6150.0,12,0,1.0
1,25,0.152896812,2916.0,3,0,0.0
1,25,0.152896812,2916.0,3,0,0.0
1,58,668.0,5217.0,5,0,0.0
1,39,0.984408835,2308.0,15,1,1.0
1,51,0.350874186,5833.0,12,1,1.0
1,33,0.175120326,2700.0,3,0,0.0
1,58,668.0,5217.0,5,0,0.0
1,38,0.475841386,3000.0,7,1,2.0
1,48,2073.0,5217.0,5,2,0.0
1,39,0.984408835,2308.0,15,1,1.0
1,40,0.382964747,13700.0,9,1,2.0
1,58,668.0,5217.0,5,0,0.0
1,58,0.632371083,4052.0,13,2,0.0
1,37,1.620344914,4000.0,16,3,1.0
1,51,0.160317928,16984.0,13,2,4.0
1,40,0.382964747,13700.0,9,1,2.0
1,68,0.218071277,25000.0,27,3,0.0
1,52,0.524949909,10480.0,11,3,1.0
1,44,0.291709578,3883.0,7,0,1.0
1,48,2073.0,5217.0,5,2,0.0
1,58,0.632371083,4052.0,13,2,0.0
1,49,0.369223765,8785.0,20,2,2.0
1,44,6046.0,5217.0,9,3,0.0
1,32,0.006731051,3416.0,1,0,3.0
1,58,0.27112148,6000.0,8,1,1.0
1,42,0.594224361,2700.0,8,0,0.0
1,61,0.209961825,5500.0,11,0,1.0
1,38,0.153500141,3556.0,5,0,2.0
1,26,0.129805014,1794.0,1,0,0.0
1,81,0.53801306,4287.0,11,2,0.0
1,58,0.632371083,4052.0,13,2,0.0
1,48,0.605098725,4000.0,10,2,1.0
1,73,274.0,5217.0,2,0,0.0
1,38,3558.0,5217.0,19,3,2.0
1,38,0.475841386,3000.0,7,1,2.0
1,37,0.337622356,12667.0,16,2,3.0
1,81,0.53801306,4287.0,11,2,0.0
1,45,0.591477634,4716.0,13,2,2.0
1,68,0.218071277,25000.0,27,3,0.0
1,35,1593.0,5217.0,6,1,1.0
1,36,0.558320373,4500.0,9,3,0.0
1,46,0.637749121,1705.0,5,0,0.0
1,50,1.595253368,4676.0,14,3,1.0
1,49,0.369223765,8785.0,20,2,2.0
1,63,5223.0,5217.0,19,2,0.0
1,47,64.0,5217.0,2,0,0.0
1,35,1593.0,5217.0,6,1,1.0
1,61,1.2979007,3000.0,11,3,1.0
1,39,0.984408835,2308.0,15,1,1.0
1,40,0.382964747,13700.0,9,1,2.0
1,43,0.461323764,7523.0,6,1,1.0
1,42,0.594224361,2700.0,8,0,0.0
1,26,0.129805014,1794.0,1,0,0.0
1,45,0.591477634,4716.0,13,2,2.0
1,58,0.632371083,4052.0,13,2,0.0
1,47,1.104301274,5416.0,6,2,1.0
1,26,0.129805014,1794.0,1,0,0.0
1,61,0.572590321,7500.0,20,2,0.0
1,63,5223.0,5217.0,19,2,0.0
1,58,0.151956584,3500.0,12,0,0.0
